building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8 Units Available,2 Bedrooms,"$3,753",1150 sqft
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11 Units Available,Studio,"$1,672",534 sqft
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11 Units Available,1 Bedroom,"$1,986",800 sqft
Calvert Woodley,"2601 Woodley Pl NW, Washington, DC","Experience life in the leafy Woodley Park neighborhood. Public transit access is nearby, with the Metro just a block away. Enjoy spacious apartments, complete with hardwood floors and a recently renovated kitchen.",11 Units Available,2 Bedrooms,"$2,772",1260 sqft
2501 Porter,"2501 Porter St NW, Washington, DC","1-2 bedroom apartments feature oversized French windows for ample natural light, stainless steel appliances in the kitchen and chic wooden flooring. Located close to Adams Morgan for impressive shopping and entertainment options.",13 Units Available,1 Bedroom,"$2,146",685 sqft
2501 Porter,"2501 Porter St NW, Washington, DC","1-2 bedroom apartments feature oversized French windows for ample natural light, stainless steel appliances in the kitchen and chic wooden flooring. Located close to Adams Morgan for impressive shopping and entertainment options.",13 Units Available,2 Bedrooms,"$2,557",989 sqft
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13 Units Available,Studio,"$1,591",505 sqft
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13 Units Available,1 Bedroom,"$1,805",800 sqft
Cleveland House,"2727 29th St NW, Washington, DC","Want included utilities? Look no further than Cleveland House Apartments in Washington, D.C. Offers pet-friendly one-and two-bedroom apartments with high-ceilings, hardwood floors, ample closet space, lots of windows. Walk to Woodley Park and Connecticut Avenue.",13 Units Available,2 Bedrooms,"$2,502",1215 sqft
Corcoran House at Dupont Circle,"1616 18th St NW, Washington, DC","Spacious, airy apartments located near some of D.C.'s most exciting nightlife. Granite countertops, hardwood floors and stainless steel appliances. On-site parking and laundry. Pets welcome.",9 Units Available,Studio,"$1,633",453 sqft
Corcoran House at Dupont Circle,"1616 18th St NW, Washington, DC","Spacious, airy apartments located near some of D.C.'s most exciting nightlife. Granite countertops, hardwood floors and stainless steel appliances. On-site parking and laundry. Pets welcome.",9 Units Available,1 Bedroom,"$2,233",750 sqft
425 Mass,"425 Massachusetts Ave NW, Washington, DC","Located in downtown Washington, DC. Walk-in closets, hardwood floors and granite counters. Pet-friendly building. Amenities include gardens, yoga, coffee bar, pool, game room and 24-hour gym.",35 Units Available,Studio,"$1,522",520 sqft
425 Mass,"425 Massachusetts Ave NW, Washington, DC","Located in downtown Washington, DC. Walk-in closets, hardwood floors and granite counters. Pet-friendly building. Amenities include gardens, yoga, coffee bar, pool, game room and 24-hour gym.",35 Units Available,1 Bedroom,"$1,845",855 sqft
425 Mass,"425 Massachusetts Ave NW, Washington, DC","Located in downtown Washington, DC. Walk-in closets, hardwood floors and granite counters. Pet-friendly building. Amenities include gardens, yoga, coffee bar, pool, game room and 24-hour gym.",35 Units Available,2 Bedrooms,"$3,155",1507 sqft
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20 Units Available,Studio,"$2,281",540 sqft
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20 Units Available,1 Bedroom,"$2,670",929 sqft
2400 M,"2400 M St NW, Washington, DC","Recently renovated units have granite countertops, hardwood floors and stainless steel appliances. Tenants have access to rooftop deck, BBQ/grill, courtyard, pool and clubhouse. 24-hour gym and concierge service. Dog- and cat-friendly.",20 Units Available,2 Bedrooms,"$4,928",1335 sqft
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17 Units Available,Studio,"$1,819",595 sqft
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17 Units Available,1 Bedroom,"$2,135",744 sqft
1210 Mass,"1210 Massachusetts Ave NW, Washington, DC","Located just south of Thomas Circle. Just a short walk to Metro Center and blocks from both McPherson Square and Mt. Vernon Square. Pet-friendly with game room, media room, courtyard and garage.",17 Units Available,2 Bedrooms,"$2,866",1160 sqft
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160 Units Available,Studio,"$1,877",486 sqft
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160 Units Available,1 Bedroom,"$2,037",782 sqft
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160 Units Available,2 Bedrooms,"$3,380",1084 sqft
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,150 Units Available,Studio,"$1,775",474 sqft
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,150 Units Available,1 Bedroom,"$2,085",622 sqft
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,150 Units Available,2 Bedrooms,"$2,770",999 sqft
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29 Units Available,Studio,"$2,188",680 sqft
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29 Units Available,1 Bedroom,"$2,104",974 sqft
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29 Units Available,2 Bedrooms,"$3,385",1377 sqft
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171 Units Available,Studio,Ask,NA
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171 Units Available,1 Bedroom,"$2,099",749 sqft
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171 Units Available,2 Bedrooms,"$3,566",1320 sqft
555,"555 E Street Southwest, Washington, DC","Southwest DC is calling you home. Offering 194 brand new apartments within walking distance of the National Mall, The Wharf, and L'Enfant Plaza, 555 provides convenient access to the best of the city.",124 Units Available,Studio,"$1,950",592 sqft
555,"555 E Street Southwest, Washington, DC","Southwest DC is calling you home. Offering 194 brand new apartments within walking distance of the National Mall, The Wharf, and L'Enfant Plaza, 555 provides convenient access to the best of the city.",124 Units Available,1 Bedroom,"$2,074",722 sqft
555,"555 E Street Southwest, Washington, DC","Southwest DC is calling you home. Offering 194 brand new apartments within walking distance of the National Mall, The Wharf, and L'Enfant Plaza, 555 provides convenient access to the best of the city.",124 Units Available,2 Bedrooms,"$3,090",1042 sqft
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96 Units Available,Studio,"$1,608",469 sqft
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96 Units Available,1 Bedroom,"$1,853",697 sqft
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96 Units Available,2 Bedrooms,"$3,287",1076 sqft
The Batley,"1270 4th Street Northeast, Washington, DC","Located in the heart of Union Market, The Batley is revolutionizing modern city living. Step into a studio, one, or two-bedroom apartment perfect for those who enjoy their living quarters with a bit more flair.",110 Units Available,Studio,"$1,730",476 sqft
The Batley,"1270 4th Street Northeast, Washington, DC","Located in the heart of Union Market, The Batley is revolutionizing modern city living. Step into a studio, one, or two-bedroom apartment perfect for those who enjoy their living quarters with a bit more flair.",110 Units Available,1 Bedroom,"$1,970",655 sqft
The Batley,"1270 4th Street Northeast, Washington, DC","Located in the heart of Union Market, The Batley is revolutionizing modern city living. Step into a studio, one, or two-bedroom apartment perfect for those who enjoy their living quarters with a bit more flair.",110 Units Available,2 Bedrooms,"$2,799",1036 sqft
14W Apartments,"1315 W St NW, Washington, DC","Contemporary design with every convenience, featuring high-end finishes and European wide-plank flooring. Spacious layout with ample storage. On-site amenities include a rooftop terrace and yoga studio. Located in a vibrant new community.",27 Units Available,Studio,"$1,877",513 sqft
14W Apartments,"1315 W St NW, Washington, DC","Contemporary design with every convenience, featuring high-end finishes and European wide-plank flooring. Spacious layout with ample storage. On-site amenities include a rooftop terrace and yoga studio. Located in a vibrant new community.",27 Units Available,1 Bedroom,"$2,111",756 sqft
14W Apartments,"1315 W St NW, Washington, DC","Contemporary design with every convenience, featuring high-end finishes and European wide-plank flooring. Spacious layout with ample storage. On-site amenities include a rooftop terrace and yoga studio. Located in a vibrant new community.",27 Units Available,2 Bedrooms,"$3,450",1096 sqft
The Channel,"950 Maine Ave SW, Washington, DC","Enjoy waterfront urban living in the shadow of the federal buildings. Easy access to I-395 and Waterfront Metro station. Brand new apartments with walk-in closets and in-unit laundry. Coffee bar, yoga and bocce court.",38 Units Available,Studio,"$1,676",337 sqft
The Channel,"950 Maine Ave SW, Washington, DC","Enjoy waterfront urban living in the shadow of the federal buildings. Easy access to I-395 and Waterfront Metro station. Brand new apartments with walk-in closets and in-unit laundry. Coffee bar, yoga and bocce court.",38 Units Available,1 Bedroom,"$1,980",732 sqft
The Channel,"950 Maine Ave SW, Washington, DC","Enjoy waterfront urban living in the shadow of the federal buildings. Easy access to I-395 and Waterfront Metro station. Brand new apartments with walk-in closets and in-unit laundry. Coffee bar, yoga and bocce court.",38 Units Available,2 Bedrooms,"$3,025",1036 sqft
Highbridge,"2512 Q St NW, Washington, DC",Quality comes without compromise at Highbridge. One step inside its light-flooded space and you'll notice no design detail has been overlooked.,13 Units Available,Studio,"$1,950",424 sqft
Highbridge,"2512 Q St NW, Washington, DC",Quality comes without compromise at Highbridge. One step inside its light-flooded space and you'll notice no design detail has been overlooked.,13 Units Available,1 Bedroom,"$2,215",560 sqft
Highbridge,"2512 Q St NW, Washington, DC",Quality comes without compromise at Highbridge. One step inside its light-flooded space and you'll notice no design detail has been overlooked.,13 Units Available,2 Bedrooms,"$3,725",880 sqft
Valo,"222 M Street Southwest, Washington, DC","Our community is operating as normal. Contactless virtual tours are also available. Please call or stop by for a tour! Welcome to a corner of DC, where life is brilliant.",49 Units Available,Studio,"$1,850",454 sqft
Valo,"222 M Street Southwest, Washington, DC","Our community is operating as normal. Contactless virtual tours are also available. Please call or stop by for a tour! Welcome to a corner of DC, where life is brilliant.",49 Units Available,1 Bedroom,"$2,015",728 sqft
Valo,"222 M Street Southwest, Washington, DC","Our community is operating as normal. Contactless virtual tours are also available. Please call or stop by for a tour! Welcome to a corner of DC, where life is brilliant.",49 Units Available,2 Bedrooms,"$3,271",1019 sqft
Sonnet,"1441 U Street Northwest, Washington, DC",Our community is operating as normal. Contactless virtual tours are also available. Please call or stop by for a tour. Your home is the center of your life.,33 Units Available,Studio,"$1,869",435 sqft
Sonnet,"1441 U Street Northwest, Washington, DC",Our community is operating as normal. Contactless virtual tours are also available. Please call or stop by for a tour. Your home is the center of your life.,33 Units Available,1 Bedroom,"$1,901",582 sqft
Sonnet,"1441 U Street Northwest, Washington, DC",Our community is operating as normal. Contactless virtual tours are also available. Please call or stop by for a tour. Your home is the center of your life.,33 Units Available,2 Bedrooms,"$3,112",950 sqft
7th Flats,"1825 7th St NW, Washington, DC","Freshly built apartments in the heart of the Shaw neighborhood. Upscale, sleek modern design with stainless steel appliances, hardwood floors and granite counters. Walk-in closets and extra storage available to maximize your space.",8 Units Available,Studio,"$1,959",588 sqft
7th Flats,"1825 7th St NW, Washington, DC","Freshly built apartments in the heart of the Shaw neighborhood. Upscale, sleek modern design with stainless steel appliances, hardwood floors and granite counters. Walk-in closets and extra storage available to maximize your space.",8 Units Available,1 Bedroom,"$1,941",855 sqft
7th Flats,"1825 7th St NW, Washington, DC","Freshly built apartments in the heart of the Shaw neighborhood. Upscale, sleek modern design with stainless steel appliances, hardwood floors and granite counters. Walk-in closets and extra storage available to maximize your space.",8 Units Available,2 Bedrooms,"$3,280",1054 sqft
Anthology,"625 H St NE, Washington, DC","Original art installations and industrial design throughout the building. Luxury apartments offer floor-to-ceiling windows, granite counters and stainless steel appliances. Steps from Whole Foods Market and four blocks from Union Station.",24 Units Available,Studio,"$1,556",475 sqft
Anthology,"625 H St NE, Washington, DC","Original art installations and industrial design throughout the building. Luxury apartments offer floor-to-ceiling windows, granite counters and stainless steel appliances. Steps from Whole Foods Market and four blocks from Union Station.",24 Units Available,1 Bedroom,"$1,638",685 sqft
Anthology,"625 H St NE, Washington, DC","Original art installations and industrial design throughout the building. Luxury apartments offer floor-to-ceiling windows, granite counters and stainless steel appliances. Steps from Whole Foods Market and four blocks from Union Station.",24 Units Available,2 Bedrooms,"$2,990",948 sqft
Parc Riverside,"1011 1st St SE, Washington, DC",High-rise with high style. Amazing rooftop deck with pool and panoramic views. Easy access to major freeways and upscale amenities that include a bocce court and yoga. Green community features and elegant interiors.,224 Units Available,Studio,"$1,695",542 sqft
Parc Riverside,"1011 1st St SE, Washington, DC",High-rise with high style. Amazing rooftop deck with pool and panoramic views. Easy access to major freeways and upscale amenities that include a bocce court and yoga. Green community features and elegant interiors.,224 Units Available,1 Bedroom,"$1,770",748 sqft
Parc Riverside,"1011 1st St SE, Washington, DC",High-rise with high style. Amazing rooftop deck with pool and panoramic views. Easy access to major freeways and upscale amenities that include a bocce court and yoga. Green community features and elegant interiors.,224 Units Available,2 Bedrooms,"$3,111",1204 sqft
Jefferson Marketplace,"1550 7th St NW, Washington, DC","Close to Shaw-Howard University and Mount Vernon Square metro stations. Stylish 1- and 2-bedroom apartments featuring modern kitchens with white granite countertops and energy-efficient appliances. Luxury amenities include a rooftop pool, fitness center and outdoor mezzanine.",14 Units Available,Studio,"$1,858",579 sqft
Jefferson Marketplace,"1550 7th St NW, Washington, DC","Close to Shaw-Howard University and Mount Vernon Square metro stations. Stylish 1- and 2-bedroom apartments featuring modern kitchens with white granite countertops and energy-efficient appliances. Luxury amenities include a rooftop pool, fitness center and outdoor mezzanine.",14 Units Available,1 Bedroom,"$2,286",745 sqft
Jefferson Marketplace,"1550 7th St NW, Washington, DC","Close to Shaw-Howard University and Mount Vernon Square metro stations. Stylish 1- and 2-bedroom apartments featuring modern kitchens with white granite countertops and energy-efficient appliances. Luxury amenities include a rooftop pool, fitness center and outdoor mezzanine.",14 Units Available,2 Bedrooms,"$3,540",1003 sqft
Camden NoMa,"61 Pierce Street, Washington, DC","Easy access to Route 50, Interstate 395 and public transportation routes. Upscale living with 24-hour concierge, rooftop entertainment lounge and pool with hot tub. Custom cabinetry and stainless steel appliances.",49 Units Available,Studio,"$1,480",535 sqft
Camden NoMa,"61 Pierce Street, Washington, DC","Easy access to Route 50, Interstate 395 and public transportation routes. Upscale living with 24-hour concierge, rooftop entertainment lounge and pool with hot tub. Custom cabinetry and stainless steel appliances.",49 Units Available,1 Bedroom,"$1,984",758 sqft
Camden NoMa,"61 Pierce Street, Washington, DC","Easy access to Route 50, Interstate 395 and public transportation routes. Upscale living with 24-hour concierge, rooftop entertainment lounge and pool with hot tub. Custom cabinetry and stainless steel appliances.",49 Units Available,2 Bedrooms,"$2,910",1155 sqft
Twelve12,"1212 4th St SE, Washington, DC","Modern, sleek community in the Yards neighborhood. Interiors feature windows to let in plenty of light and stainless-steel appliances. The River Trail is in your backyard, with the Nationals Stadium and the Metro Station nearby.",16 Units Available,Studio,"$1,890",582 sqft
Twelve12,"1212 4th St SE, Washington, DC","Modern, sleek community in the Yards neighborhood. Interiors feature windows to let in plenty of light and stainless-steel appliances. The River Trail is in your backyard, with the Nationals Stadium and the Metro Station nearby.",16 Units Available,1 Bedroom,"$1,970",719 sqft
Twelve12,"1212 4th St SE, Washington, DC","Modern, sleek community in the Yards neighborhood. Interiors feature windows to let in plenty of light and stainless-steel appliances. The River Trail is in your backyard, with the Nationals Stadium and the Metro Station nearby.",16 Units Available,2 Bedrooms,"$3,010",1151 sqft
Foundry Lofts,"301 Tingey St SE, Washington, DC","Overlooking Nat's Stadium, the lofts are anything but ordinary - a canon in the lobby is testament to this. Exposed brick walls, massive windows and wood floors. In trendy The Yards neighborhood near the Riverwalk Trail.",19 Units Available,1 Bedroom,"$1,940",762 sqft
Foundry Lofts,"301 Tingey St SE, Washington, DC","Overlooking Nat's Stadium, the lofts are anything but ordinary - a canon in the lobby is testament to this. Exposed brick walls, massive windows and wood floors. In trendy The Yards neighborhood near the Riverwalk Trail.",19 Units Available,2 Bedrooms,"$3,335",1282 sqft
The Shelburne,"1631 S St NW, Washington, DC","Studio, one- and two-bedroom apartments near Dupont Circle and a five-minute walk from the metro. Pet-friendly community includes 24-hour controlled access and emergency maintenance, clothing care center, bike storage and more.",10 Units Available,Studio,"$1,300",290 sqft
The Shelburne,"1631 S St NW, Washington, DC","Studio, one- and two-bedroom apartments near Dupont Circle and a five-minute walk from the metro. Pet-friendly community includes 24-hour controlled access and emergency maintenance, clothing care center, bike storage and more.",10 Units Available,1 Bedroom,"$1,710",618 sqft
The Shelburne,"1631 S St NW, Washington, DC","Studio, one- and two-bedroom apartments near Dupont Circle and a five-minute walk from the metro. Pet-friendly community includes 24-hour controlled access and emergency maintenance, clothing care center, bike storage and more.",10 Units Available,2 Bedrooms,"$2,875",773 sqft
The Sedgewick,"1722 19th St NW, Washington, DC","Studio, one- and two-bedroom apartments near Dupont Circle. Pet-friendly community with 24-hour controlled access and emergency maintenance, clothing care center, bike storage and more. On-site parking and additional storage are available.",13 Units Available,Studio,"$1,525",359 sqft
The Sedgewick,"1722 19th St NW, Washington, DC","Studio, one- and two-bedroom apartments near Dupont Circle. Pet-friendly community with 24-hour controlled access and emergency maintenance, clothing care center, bike storage and more. On-site parking and additional storage are available.",13 Units Available,1 Bedroom,"$1,700",558 sqft
The Sedgewick,"1722 19th St NW, Washington, DC","Studio, one- and two-bedroom apartments near Dupont Circle. Pet-friendly community with 24-hour controlled access and emergency maintenance, clothing care center, bike storage and more. On-site parking and additional storage are available.",13 Units Available,2 Bedrooms,"$3,256",826 sqft
Camden Grand Parc,"910 15th St NW, Washington, DC",Situated across from McPherson Square Metro Station. Also close to the White House and George Washington University. Apartments feature fully-equipped kitchens with granite countertops. Amenities include continental breakfasts and 24-hour concierge service.,8 Units Available,Studio,"$2,023",405 sqft
Camden Grand Parc,"910 15th St NW, Washington, DC",Situated across from McPherson Square Metro Station. Also close to the White House and George Washington University. Apartments feature fully-equipped kitchens with granite countertops. Amenities include continental breakfasts and 24-hour concierge service.,8 Units Available,1 Bedroom,"$1,996",696 sqft
Camden Grand Parc,"910 15th St NW, Washington, DC",Situated across from McPherson Square Metro Station. Also close to the White House and George Washington University. Apartments feature fully-equipped kitchens with granite countertops. Amenities include continental breakfasts and 24-hour concierge service.,8 Units Available,2 Bedrooms,Ask,NA
Camden Roosevelt,"2101 16th St NW, Washington, DC","Luxury studios and apartments in a peaceful community across from Meridian Hill Park. Each apartment features intricate crown molding, hardwood floors and built-in bookshelves. Amenities include a sauna, 24-hour gym and wine room.",15 Units Available,Studio,"$1,909",516 sqft
Camden Roosevelt,"2101 16th St NW, Washington, DC","Luxury studios and apartments in a peaceful community across from Meridian Hill Park. Each apartment features intricate crown molding, hardwood floors and built-in bookshelves. Amenities include a sauna, 24-hour gym and wine room.",15 Units Available,1 Bedroom,"$2,479",768 sqft
