id,description,quantity,unit.name,quantity.$numberLong,releases.date,releases.id,releases.contracts.value.amount,releases.contracts.value.currency
2,soa01--232 CAMPEROS Y CAMIONETAS Más de 2500c.c. Más de 10,1.0,Unidad,,2018-01-24T00:00:00.000Z,24852,2183466,COP
1,Combustible Terpel - Bogotá.,,Peso (COP),2249992192,2018-01-24T00:00:00.000Z,24853,{'$numberLong': '2249992320'},COP
1,Suministro de Tiquetes Aéreos.,1.0,Unidad,,2018-01-24T00:00:00.000Z,24854,{'$numberLong': '2787216232'},COP
1,Combustible Autogas - Medellín,3000000.0,Peso (COP),,2018-01-24T00:00:00.000Z,24855,3000000,COP
1,Guadanadora eje rigido HY-G43L,2.0,Unidad,,2018-01-16T00:00:00.000Z,24639,2712605,COP
2,Gravámen adicional (Gran Almacen),22605.0,Peso (COP),,2018-01-16T00:00:00.000Z,24639,2712605,COP
1,Combustible Terpel - Yopal,25500000.0,Peso (COP),,2018-01-16T00:00:00.000Z,24640,25500000,COP
1,ays02--R8 - Operario de aseo y cafetería Tiempo Completo - 8,7.0,Mes,,2018-01-16T00:00:00.000Z,24641,149797200,COP
2,ays02--R8 - Operario de aseo y cafetería Medio Tiempo - 10,7.0,Mes,,2018-01-16T00:00:00.000Z,24641,149797200,COP
3,ays02--R8 - Bienes de Aseo y Cafetería,7.0,Unidad,,2018-01-16T00:00:00.000Z,24641,149797200,COP
4,"ays02--R8 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-16T00:00:00.000Z,24641,149797200,COP
5,ays02--R8 - Recargo por dotación especial,1.0,Unidad,,2018-01-16T00:00:00.000Z,24641,149797200,COP
6,ays02--R8 - AIU,1.0,Unidad,,2018-01-16T00:00:00.000Z,24641,149797200,COP
7,ays02--R8 - IVA,1.0,Unidad,,2018-01-16T00:00:00.000Z,24641,149797200,COP
1,ays02--R4 - Operario de aseo y cafetería Tiempo Completo - 11,7.0,Mes,,2018-01-16T00:00:00.000Z,24638,114871777,COP
2,ays02--R4 - Bienes de Aseo y Cafetería,7.0,Unidad,,2018-01-16T00:00:00.000Z,24638,114871777,COP
3,"ays02--R4 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-16T00:00:00.000Z,24638,114871777,COP
4,ays02--R4 - Recargo por dotación especial,1.0,Unidad,,2018-01-16T00:00:00.000Z,24638,114871777,COP
5,ays02--R4 - AIU,1.0,Unidad,,2018-01-16T00:00:00.000Z,24638,114871777,COP
6,ays02--R4 - IVA,1.0,Unidad,,2018-01-16T00:00:00.000Z,24638,114871777,COP
1,ays02--R9 - Operario de aseo y cafetería Tiempo Completo - 16,7.0,Mes,,2018-01-16T00:00:00.000Z,24642,202683556,COP
2,ays02--R9 - Operario de aseo y cafetería Medio Tiempo - 6,7.0,Mes,,2018-01-16T00:00:00.000Z,24642,202683556,COP
3,ays02--R9 - Bienes de Aseo y Cafetería,7.0,Unidad,,2018-01-16T00:00:00.000Z,24642,202683556,COP
4,"ays02--R9 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-16T00:00:00.000Z,24642,202683556,COP
5,ays02--R9 - Recargo por dotación especial,1.0,Unidad,,2018-01-16T00:00:00.000Z,24642,202683556,COP
6,ays02--R9 - AIU,1.0,Unidad,,2018-01-16T00:00:00.000Z,24642,202683556,COP
7,ays02--R9 - IVA,1.0,Unidad,,2018-01-16T00:00:00.000Z,24642,202683556,COP
1,ays02--R3 - Operario de aseo y cafetería Tiempo Completo - 7,7.0,Mes,,2018-01-16T00:00:00.000Z,24636,155349486,COP
2,ays02--R3 - Operario de aseo y cafetería Medio Tiempo - 11,7.0,Mes,,2018-01-16T00:00:00.000Z,24636,155349486,COP
3,ays02--R3 - Bienes de Aseo y Cafetería,7.0,Unidad,,2018-01-16T00:00:00.000Z,24636,155349486,COP
4,"ays02--R3 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-16T00:00:00.000Z,24636,155349486,COP
5,ays02--R3 - Recargo por dotación especial,1.0,Unidad,,2018-01-16T00:00:00.000Z,24636,155349486,COP
6,ays02--R3 - AIU,1.0,Unidad,,2018-01-16T00:00:00.000Z,24636,155349486,COP
7,ays02--R3 - IVA,1.0,Unidad,,2018-01-16T00:00:00.000Z,24636,155349486,COP
1,ays02--R11 - Operario de aseo y cafetería Tiempo Completo - 41,7.0,Mes,,2018-01-16T00:00:00.000Z,24644,604675463,COP
2,ays02--R11 - Coordinador de tiempo completo Tiempo Completo - 1,7.0,Mes,,2018-01-16T00:00:00.000Z,24644,604675463,COP
3,ays02--R11 - Operario de aseo y cafetería Medio Tiempo - 14,7.0,Mes,,2018-01-16T00:00:00.000Z,24644,604675463,COP
4,ays02--R11 - Bienes de Aseo y Cafetería,7.0,Unidad,,2018-01-16T00:00:00.000Z,24644,604675463,COP
5,"ays02--R11 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-16T00:00:00.000Z,24644,604675463,COP
6,ays02--R11 - Recargo por dotación especial,1.0,Unidad,,2018-01-16T00:00:00.000Z,24644,604675463,COP
7,ays02--R11 - AIU,1.0,Unidad,,2018-01-16T00:00:00.000Z,24644,604675463,COP
8,ays02--R11 - IVA,1.0,Unidad,,2018-01-16T00:00:00.000Z,24644,604675463,COP
1,Combustible Terpel - Neiva,152728864.0,Peso (COP),,2018-01-17T00:00:00.000Z,24684,152728871,COP
1,Servicios Oracle (CCE-211-AG-2015),1.0,Unidad,,2018-01-17T00:00:00.000Z,24686,19576035,COP
1,ESCOBA SUAVE REINA MANGO MADERA 140 CMS. Cod: 8490646,36.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
2,ESCOBA DURA REINA CON MANGO MADERA 140 CMS. Cod: 8490642,30.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
3,TRAPERO ARCO ASEO ALGODON ENCABADO NO. 32 Cod: 8469482,48.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
4,DETERGENTE AS DERSA EN POLVO PAQUETE 500 GRS. Cod: 8469223,120.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
5,GUANTE INDULATEX INDUSTRIAL NEGRO TALLA 10 CAL. 25 Cod: 8469266,18.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
6,CREOLINA CORRIENTE GALON X 3000 CM3 Cod: 900500451,9.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
7,BLANQUEADOR BLANCOX FRASCO X 1000 CC. Cod: 8469201,48.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
8,CEPILLO TIPO EDIS CERDA DURA MANGO MADERA Cod: 900500688,12.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
9,RECOGEDOR PLASTICO MANGO PVC CON ROSCA Cod: 8490869,12.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
10,LIMPIADOR FABULOSO FLORAL GAL N 2000 CC. Cod: 8469312,8.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
11,JABON AXION LAVA LOZA CREMA 900 G Cod: 8469287,3.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
12,FIBRA LIMPIADORA ETERNA SABRA VERDE Cod: 8469241,4.0,Unidad,,2018-01-17T00:00:00.000Z,24681,1861993,COP
1,C1_EMER_Z1_10 Extintor de agente limpio HCFC de 3700 gramos,2.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
2,C1_EMER_Z1_2 Extintor polvo quimico seco clase ABC portatil de 10 libras,3.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
3,C1_EMER_Z1_23 Aviso o senalizacion del Extintor,5.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
4,C1_EMER_Z1_24 Soporte de piso tipo pedestal para Extintor 10lb,5.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
5,C2_EMER_Z1_4 Botiquin tipo B en maletin,1.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
6,C2_EMER_Z1_27 Collar cervical de adulto - 1 unidad,2.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
7,C2_EMER_Z1_38 Tabla espinal para emergencias,2.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
8,Valor IVA,1.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
9,Valor IVA,1.0,Unidad,,2018-01-17T00:00:00.000Z,24685,1929645,COP
1,sdt01--Servicio de distribución,1.0,Unidad,,2018-01-18T00:00:00.000Z,24689,100943228,COP
1,ays02--R10 - Operario de aseo y cafetería Tiempo Completo - 10,7.0,Mes,,2018-01-16T00:00:00.000Z,24643,152848281,COP
2,ays02--R10 - Operario de aseo y cafetería Medio Tiempo - 7,7.0,Mes,,2018-01-16T00:00:00.000Z,24643,152848281,COP
3,ays02--R10 - Bienes de Aseo y Cafetería,7.0,Unidad,,2018-01-16T00:00:00.000Z,24643,152848281,COP
4,"ays02--R10 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-16T00:00:00.000Z,24643,152848281,COP
5,ays02--R10 - Recargo por dotación especial,1.0,Unidad,,2018-01-16T00:00:00.000Z,24643,152848281,COP
6,ays02--R10 - AIU,1.0,Unidad,,2018-01-16T00:00:00.000Z,24643,152848281,COP
7,ays02--R10 - IVA,1.0,Unidad,,2018-01-16T00:00:00.000Z,24643,152848281,COP
1,ays02--R9 - Operario de aseo y cafetería Tiempo Completo - 2,11.0,Mes,,2018-01-18T00:00:00.000Z,24687,37581173,COP
2,ays02--R9 - Bienes de Aseo y Cafetería,11.0,Unidad,,2018-01-18T00:00:00.000Z,24687,37581173,COP
3,"ays02--R9 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-18T00:00:00.000Z,24687,37581173,COP
4,ays02--R9 - Recargo por dotación especial,1.0,Unidad,,2018-01-18T00:00:00.000Z,24687,37581173,COP
5,ays02--R9 - AIU,1.0,Unidad,,2018-01-18T00:00:00.000Z,24687,37581173,COP
6,ays02--R9 - IVA,1.0,Unidad,,2018-01-18T00:00:00.000Z,24687,37581173,COP
1,sdt01--Servicio de distribución,1.0,Unidad,,2018-01-18T00:00:00.000Z,24688,327086031,COP
1,Combustible Autogas - Bogotá.,190000000.0,Peso (COP),,2018-01-18T00:00:00.000Z,24691,190000000,COP
1,etp01--Portátil 3.2 PA - 2 Tiempo,125.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
2,etp01--Portátil 3.2 PA - 2 Tiempo,128.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
3,etp01--Portátil 3.2 PA - 2 Tiempo,73.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
4,etp01--Impresora láser color 2.4 A PE - 11 Tiempo,1.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
5,etp01--Impresora MFP láser B/N 2.3 PE - 11 Tiempo,8.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
6,etp01--Escáner 2.1 PE - 11 Tiempo,8.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
7,etp01--Escáner 2.1 PE - 11 Tiempo,4.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
8,etp01--Escáner 2.1 PE - 11 Tiempo,1.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
9,etp01--Video proyector 2.1 PE - 11 Tiempo,9.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
10,etp01--Video proyector 2.1 PE - 11 Tiempo,12.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
11,etp01--Video proyector 2.1 PE - 11 Tiempo,4.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
12,etp01--Estación de trabajo 2.3 PE - 11 Tiempo,10.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
13,etp01--Impresora MFP láser B/N 2.3 PE - 11 Tiempo,1.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
14,etp01--Impresora MFP láser B/N 2.3 PE - 11 Tiempo,3.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
15,etp01--IVA,1.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
16,etp-01-portatil3.2 PA - 1 Tiempo,125.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
17,etp01--Portátil 3.2 PA - 1 Tiempo,128.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
18,etp01--Portátil 3.2 PA - 1 Tiempo,73.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
19,etp01--Impresora láser color 2.4 A PE - o.4 Tiempo,1.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
20,etp01--Impresora MFP láser B/N 2.3 PE - 0.4 Tiempo,8.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
21,etp01--Escáner 2.1 PE - 0.4 Tiempo,8.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
22,etp01--Escáner 2.1 PE - 04 Tiempo,4.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
23,etp01--Escáner 2.1 PE - 0.4 Tiempo,1.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
24,etp01--Video proyector 2.1 PE - 0.4 Tiempo,9.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
25,etp01--Video proyector 2.1 PE - 0-4 Tiempo,12.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
26,etp01--Video proyector 2.1 PE - 0.4 Tiempo,4.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
27,etp01--Estación de trabajo 2.3 PE - 0.4 Tiempo,10.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
28,etp01--Impresora MFP láser B/N 2.3 PE - 0.4 Tiempo,1.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
29,etp01--Impresora MFP láser B/N 2.3 PE - 0.4 Tiempo,3.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
30,etp01--Portátil 3.2 PA - 2 Tiempo,36.0,Unidad,,2018-01-18T00:00:00.000Z,24699,517015911,COP
1,cnt02--Enlaces de Conectividad Terrestre - Enlaces Dedicados a Internet - Región 1 - Nivel de servic,12.0,Mes,,2018-01-18T00:00:00.000Z,24693,8275274,COP
2,cnt02--Enlaces de Conectividad Móvil - Internet Móvil - Con Terminal - Región móvil - Nivel de Servi,12.0,Mes,,2018-01-18T00:00:00.000Z,24693,8275274,COP
3,cnt02--IVA,1.0,Unidad,,2018-01-18T00:00:00.000Z,24693,8275274,COP
1,Servicios Oracle (CCE-211-AG-2015),1.0,Unidad,,2018-01-18T00:00:00.000Z,24690,1147194407,COP
1,Servicios Oracle (CCE-211-AG-2015),1.0,Unidad,,2018-01-22T00:00:00.000Z,24772,957699529,COP
1,Enlaces de Conectividad Terrestre - Enlaces Dedicados a Internet - Región 1 - Nivel de servicio plat,12.0,Mes,,2018-01-22T00:00:00.000Z,24771,3862740,COP
2,Valor IVA,1.0,Unidad,,2018-01-22T00:00:00.000Z,24771,3862740,COP
3,Instalación,1.0,Unidad,,2018-01-22T00:00:00.000Z,24771,3862740,COP
1,ays02--R2 - Operario de aseo y cafetería Tiempo Completo - 13,10.0,Mes,,2018-01-18T00:00:00.000Z,24692,344917371,COP
2,ays02--R2 - Jardinero Tiempo Completo - 3,10.0,Mes,,2018-01-18T00:00:00.000Z,24692,344917371,COP
3,ays02--R2 - Operario auxiliar Tiempo Completo - 1,10.0,Mes,,2018-01-18T00:00:00.000Z,24692,344917371,COP
4,ays02--R2 - Bienes de Aseo y Cafetería,10.0,Unidad,,2018-01-18T00:00:00.000Z,24692,344917371,COP
5,ays02--R2 - Jardinería - 2220,10.0,Mes,,2018-01-18T00:00:00.000Z,24692,344917371,COP
6,ays02--R2 - Fumigación - 10496,2.0,Metro Cuadrado,,2018-01-18T00:00:00.000Z,24692,344917371,COP
7,ays02--R2 - AIU,1.0,Unidad,,2018-01-18T00:00:00.000Z,24692,344917371,COP
8,ays02--R2 - IVA,1.0,Unidad,,2018-01-18T00:00:00.000Z,24692,344917371,COP
9,Operario de Aseo y Cafeteria Tiempo completo -1,9.0,Mes,,2018-01-18T00:00:00.000Z,24692,344917371,COP
10,Operario de Aseo y Cafetería Tiempo Completo - 1,20.0,Día,,2018-01-18T00:00:00.000Z,24692,344917371,COP
11,Operario de aseo y cafetería Tiempo Completo - 14,20.0,Día,,2018-01-18T00:00:00.000Z,24692,344917371,COP
12,Jardinero Tiempo Completo - 3,20.0,Día,,2018-01-18T00:00:00.000Z,24692,344917371,COP
13,Operario auxiliar Tiempo Completo - 1,20.0,Día,,2018-01-18T00:00:00.000Z,24692,344917371,COP
14,Jardinería - 2220,20.0,Día,,2018-01-18T00:00:00.000Z,24692,344917371,COP
15,Bienes de Aseo y Cafetería,1.0,Unidad,,2018-01-18T00:00:00.000Z,24692,344917371,COP
1,Combustible Terpel - Neiva,270000000.0,Peso (COP),,2018-01-22T00:00:00.000Z,24774,270000000,COP
1,Servicios Oracle (CCE-211-AG-2015),1.0,Unidad,,2018-01-22T00:00:00.000Z,24775,518237234,COP
1,ays02--R7 - Operario de aseo y cafetería Tiempo Completo - 1,11.0,Mes,,2018-01-22T00:00:00.000Z,24773,20932818,COP
2,ays02--R7 - Bienes de Aseo y Cafetería,11.0,Unidad,,2018-01-22T00:00:00.000Z,24773,20932818,COP
3,"ays02--R7 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-22T00:00:00.000Z,24773,20932818,COP
4,ays02--R7 - Recargo por dotación especial,1.0,Unidad,,2018-01-22T00:00:00.000Z,24773,20932818,COP
5,ays02--R7 - AIU,1.0,Unidad,,2018-01-22T00:00:00.000Z,24773,20932818,COP
6,ays02--R7 - IVA,1.0,Unidad,,2018-01-22T00:00:00.000Z,24773,20932818,COP
1,ays02--R11 - Operario de aseo y cafetería Tiempo Completo - 11,10.0,Mes,,2018-01-22T00:00:00.000Z,24776,233346600,COP
2,ays02--R11 - Operario de mantenimiento Tiempo Completo - 2,10.0,Mes,,2018-01-22T00:00:00.000Z,24776,233346600,COP
3,ays02--R11 - Bienes de Aseo y Cafetería,10.0,Unidad,,2018-01-22T00:00:00.000Z,24776,233346600,COP
4,ays02--R11 - Fumigación - 3028,3.0,Metro Cuadrado,,2018-01-22T00:00:00.000Z,24776,233346600,COP
5,"ays02--R11 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-22T00:00:00.000Z,24776,233346600,COP
6,ays02--R11 - Recargo por dotación especial,1.0,Unidad,,2018-01-22T00:00:00.000Z,24776,233346600,COP
7,ays02--R11 - AIU,1.0,Unidad,,2018-01-22T00:00:00.000Z,24776,233346600,COP
8,ays02--R11 - IVA,1.0,Unidad,,2018-01-22T00:00:00.000Z,24776,233346600,COP
1,Combustible Distracom - Manizales,6511833.0,Peso (COP),,2018-01-22T00:00:00.000Z,24781,6511833,COP
1,Suministro de Tiquetes Aéreos.,1.0,Unidad,,2018-01-22T00:00:00.000Z,24778,45000000,COP
1,ays02--R11 - Operario de aseo y cafetería Tiempo Completo - 1,13.0,Mes,,2018-01-22T00:00:00.000Z,24779,24980888,COP
2,ays02--R11 - Bienes de Aseo y Cafetería,13.0,Unidad,,2018-01-22T00:00:00.000Z,24779,24980888,COP
3,"ays02--R11 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-22T00:00:00.000Z,24779,24980888,COP
4,ays02--R11 - Recargo por dotación especial,1.0,Unidad,,2018-01-22T00:00:00.000Z,24779,24980888,COP
5,ays02--R11 - AIU,1.0,Unidad,,2018-01-22T00:00:00.000Z,24779,24980888,COP
6,ays02--R11 - IVA,1.0,Unidad,,2018-01-22T00:00:00.000Z,24779,24980888,COP
1,ays02--R11 - Operario de aseo y cafetería Medio Tiempo - 1,10.0,Mes,,2018-01-22T00:00:00.000Z,24780,11019829,COP
2,ays02--R11 - Bienes de Aseo y Cafetería,10.0,Unidad,,2018-01-22T00:00:00.000Z,24780,11019829,COP
3,"ays02--R11 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-22T00:00:00.000Z,24780,11019829,COP
4,ays02--R11 - Recargo por dotación especial,1.0,Unidad,,2018-01-22T00:00:00.000Z,24780,11019829,COP
5,ays02--R11 - AIU,1.0,Unidad,,2018-01-22T00:00:00.000Z,24780,11019829,COP
6,ays02--R11 - IVA,1.0,Unidad,,2018-01-22T00:00:00.000Z,24780,11019829,COP
1,etp01--Impresora MFP láser B/N 2.3 PE - 11 Tiempo,1.0,Unidad,,2018-01-23T00:00:00.000Z,24829,19978455,COP
2,etp01--Impresora MFP láser B/N 2.3 PE - 11 Tiempo,1.0,Unidad,,2018-01-23T00:00:00.000Z,24829,19978455,COP
3,etp01--Impresora MFP láser B/N 2.3 PE - 11 Tiempo,1.0,Unidad,,2018-01-23T00:00:00.000Z,24829,19978455,COP
4,etp01--IVA,1.0,Unidad,,2018-01-23T00:00:00.000Z,24829,19978455,COP
1,ays02--R3 - Operario de aseo y cafetería Tiempo Completo - 3,12.0,Mes,,2018-01-22T00:00:00.000Z,24777,56164240,COP
2,ays02--R3 - Operario de aseo y cafetería Medio Tiempo - 0,10.0,Mes,,2018-01-22T00:00:00.000Z,24777,56164240,COP
3,ays02--R3 - Bienes de Aseo y Cafetería,12.0,Unidad,,2018-01-22T00:00:00.000Z,24777,56164240,COP
4,"ays02--R3 - Recargo por Trabajo nocturno, extra, dominical y festivo",1.0,Unidad,,2018-01-22T00:00:00.000Z,24777,56164240,COP
5,ays02--R3 - Recargo por dotación especial,1.0,Unidad,,2018-01-22T00:00:00.000Z,24777,56164240,COP
6,ays02--R3 - AIU,1.0,Unidad,,2018-01-22T00:00:00.000Z,24777,56164240,COP
7,ays02--R3 - IVA,1.0,Unidad,,2018-01-22T00:00:00.000Z,24777,56164240,COP
8,Fumigación,956.0,Metro Cuadrado,,2018-01-22T00:00:00.000Z,24777,56164240,COP
9,REAJUSTE SMMLV,1.0,Mes,,2018-01-22T00:00:00.000Z,24777,56164240,COP
10,REAJUSTE IPC,1.0,Mes,,2018-01-22T00:00:00.000Z,24777,56164240,COP
1,Suministro de Tiquetes Aéreos.,1.0,Unidad,,2018-01-23T00:00:00.000Z,24831,40000000,COP
1,Servicios Oracle (CCE-211-AG-2015),1.0,Unidad,,2018-01-23T00:00:00.000Z,24830,45877565,COP
